Data,Średnia waga (kg),Największa waga (kg),Najmniejsza waga (kg),Kalorie (kcal),Punkty kardio,Minuty intensywnego treningu,Dolna szerokość geograficzna (w stopniach),Dolna długość geograficzna (w stopniach),Górna szerokość geograficzna (w stopniach),Górna długość geograficzna (w stopniach),Średnie tętno (bpm),Najwyższe tętno (bpm),Najniższe tętno (bpm),Liczba kroków,Odległość (m),Średnia szybkość (m/s),Największa szybkość (m/s),Najmniejsza szybkość (m/s),Liczba minut ruchu,Jazda na rowerze – czas trwania (ms),Brak aktywności – czas trwania (ms),Marsz – czas trwania (ms),Bieg – czas trwania (ms),Badminton – czas trwania (ms),Turystyka piesza – czas trwania (ms),Sen – czas trwania (ms),Pływanie – czas trwania (ms),Inna – czas trwania (ms),Płytki sen – czas trwania (ms),Głęboki sen – czas trwania (ms),Wybudzenie ze snu – czas trwania (ms)
2020-06-13,,,,1879.0254026578577,51.0,50,52.4206682,16.8883671,52.4268147,16.9129427,,,,9566,5745.060022354126,0.728992262113914,4.811606407165527,0.029597284272313118,111,220614,50371441,4924733,,,,29040000,,,,,
2020-06-14,,,,1789.99361987373,3.0,3,52.4235581,16.9021243,52.4267797,16.9100484,,,,6890,4592.700522542,0.6836087274764583,3.2536873817443848,0.24845343828201294,110,,46062137,3578986,,,,29940000,,,,,
2020-06-15,,,,1702.9336688518524,12.0,11,52.4263121,16.9096749,52.4273085,16.9120973,,,,3975,2743.5382148623466,0.5556280631924687,2.2336182594299316,0.251099556684494,53,,47627538,1587860,184422,,,34740000,,,,,
2020-06-16,,,,2020.023228237133,81.0,81,52.4265089,16.9095904,52.4378739,16.9523719,,,,14077,9735.806510448456,0.682701113869098,12.360939025878906,0.08794274926185608,146,,38954267,7685216,,,,37200000,,,,,
2020-06-17,,,,1607.9528411538117,,,,,,,,,,2075,1358.133836865425,0.85871542649437,3.5591559410095215,0.2558199167251587,29,,55350353,329400,,,,26700000,,,,,
2020-06-18,,,,1681.5198298698085,14.0,13,52.4264711,16.9099275,52.4273155,16.9182931,,,,6056,4208.770591616631,0.9171987022259636,3.146630048751831,0.24700096249580383,85,,50295582,1642572,,,,30960000,,,,,
2020-06-19,,,,1693.1355204053582,23.0,23,52.4242506,16.9095374,52.4273051,16.9184287,,,,4276,2482.521466255188,0.5484652012753216,2.750763177871704,0.28744998574256897,45,,51650044,1849986,,,,28800000,,,,,
2020-06-20,,,,1820.8128011016167,23.0,23,,,,,,,,9740,6670.611211895943,0.5527405682771307,2.89904522895813,0.26694250106811523,141,,47766513,4127337,,,,28560000,,,,,
2020-06-21,,,,1642.8948479572318,3.0,3,,,,,,,,3879,2646.844783782959,0.6375667769033295,3.303419351577759,0.25317010283470154,66,,59714896,953145,,,,23100000,,,,,
2020-06-22,,,,2076.514723157131,18.0,18,52.3999497,16.8602066,52.4111072,16.9144986,,,,14407,9726.736166119576,0.7013721432277287,13.120970726013184,0.23133695125579834,219,,45410036,8689240,,,,23940000,,,,,
2020-06-23,,,,1604.3088760305136,,,,,,,,,,1623,1067.144330739975,0.4634864992058839,1.802390456199646,0.26694250106811523,27,,84498441,264353,,,,,,,,,
2020-06-24,,,,2150.0306064346782,42.0,41,52.4206043,16.8958904,52.4277823,16.9120447,,,,18090,12470.57014131546,0.80848782253073,11.220641136169434,0.04292029142379761,251,,40630933,9982782,,,,28800000,,,,,
2020-06-25,,,,1614.7832030084132,,,,,,,,,,2985,1929.9289660453796,0.8286333894943816,2.7351317405700684,0.2558199167251587,59,,51394568,450627,,,,30000000,,,,,
2020-06-26,,,,1778.5533098184344,10.0,10,52.4214839,16.9007158,52.4268362,16.9101036,,,,6612,4318.381685495377,0.5856330735746746,3.176331043243408,0.24901629984378815,94,,45258608,3374766,,,,32400000,,,,,
2020-06-27,,,,1637.8193402881845,5.0,5,52.4262875,16.9095714,52.4273265,16.9119002,,,,3923,2767.3008432388306,0.6712313087890436,9.006814002990723,0.2539607286453247,66,,42091197,862543,,,,39730380,,,,,
2020-06-28,,,,1868.3715363378926,13.0,12,52.4195338,16.9082842,52.4267627,16.9118901,,,,9653,6453.481675744057,0.6752525046600636,7.322312831878662,0.2555733025074005,150,,50307612,4781081,85906,,,27120000,,,,,
2020-06-29,,,,2102.9071745110105,59.0,59,47.4931444,19.0451247,47.5217152,19.1124543,,,,15740,11003.780633807182,13.006080750604738,38.480003356933594,0.14466094970703125,195,,14334480,8945151,94931,,,13260000,,,,,
2020-06-30,,,,2298.7199454340484,63.0,59,47.5043781,16.6375912,48.8990242,19.1177394,,,,20827,14972.556844472885,5.727067851471129,38.84000015258789,0.04004339128732681,260,,16925948,12654336,,,,24300000,,,,,
